TFBS_homology_group	Transcription.Factor.Name
L2021	NFIX
L2022	NFIA
L2023	NFIX
L2024	NFIA
L2025	Arid3a
L2026	BARX2
L2027	TP73
L2028	Irx2
L2029	Arnt
L203	ELF5
L2030	MEIS1
L2031	Dlx4
L2032	FOXC2
L2033	Tcfcp2l1
L2034	NR4A2
L2035	PITX2
L2036	NR4A2
L2037	FOXC2
L2038	ATF4
L2039	MEIS1
L204	Irx2
L2040	SOX9
L2041	SOX9
L2042	TBX3
L2043	PITX2
L2044	FOXC2
L2045	NFIB
L2046	Arid3a
L2047	Arid3a
L2048	EHF
L2049	NFIX
L205	Arid3a
L2050	Arid3a
L2051	Arid3a
L2052	Arid3a
L2053	NFIX
L2054	NFIA
L2055	NFIX
L2056	Arid3a
L2057	Dlx4
L2058	NFIX
L2059	NFIX
L206	ELF5
L2060	NFIA
L2061	ELF5
L2062	Arnt
L2063	MEIS1
L2064	Dlx4
L2065	NFATC1
L2066	ELK4
L2067	FOXC2
L2068	OVOL1
L2069	Tcfcp2l1
L207	NFATC1
L2070	Arid3a
L2071	RORC
L2072	Tcfcp2l1
L2073	EHF
L2074	FOXO4
L2075	NFIX
L2076	Arid3a
L2077	RORC
L2078	Arid3a
L2079	Arid3a
L208	ELF5
L2080	FOXI1
L2081	Dlx4
L2082	RORA
L2083	ELF5
L2084	NR4A1
L2085	MEIS1
L2086	NFATC1
L2087	TBX3
L2088	ZBTB6
L2089	NFATC1
L209	NFATC1
L2090	NFIX
L2091	ELF5
L2092	NR4A2
L2093	NFIX
L2094	MEIS1
L2095	NFIX
L2096	MEIS1
L2097	RORC
L2098	Arid3a
L2099	NFIX
L21	FOXC2
L210	ELK4
L2100	FOXC2
L2101	NR4A1
L2102	SOX9
L2103	SREBF1
L2104	GRHL2
L2105	ELF5
L2106	ELF5
L2107	NFIX
L2108	NFATC1
L2109	NFATC1
L211	NFATC1
L2110	MEIS1
L2111	NFATC1
L2112	NFIX
L2113	NFIX
L2114	NR4A1
L2115	MEIS1
L2116	PITX2
L2117	TBX3
L2118	RORA
L2119	Arid3a
L212	NFATC1
L2120	MEIS1
L2121	FOXO3
L2122	NFATC1
L2123	ELF5
L2124	FOXO4
L2125	NFATC1
L2126	SOX10
L2127	ZBTB26
L2128	Ddit3Cebpa
L2129	TFAP2A
L213	NFATC1
L2130	Arid3a
L2131	MEIS1
L2132	NFATC1
L2133	ELF5
L2134	EHF
L2135	NFATC1
L2136	ELF5
L2137	NFATC1
L2138	ELF5
L2139	Arid3a
L214	FOXC2
L2140	SOX9
L2141	ZNF341
L2142	Dlx4
L2143	FOXO3
L2144	SOX9
L2145	FOXO4
L2146	FIGLA
L2147	Ddit3Cebpa
L2148	Arid3a
L2149	Bhlha15
L215	Irx2
L2150	ZNF341
L2151	Dlx4
L2152	Arid3a
L2153	ELF5
L2154	NFIX
L2155	NFATC1
L2156	Ddit3Cebpa
L2157	Ddit3Cebpa
