CV1298	CV1297	CV1086	CV1082	CV1095	CV1299	CV1089	CV1300	CV0857	CV1087	CV1096
C1orf35	7.63597401765257	6.32063302287346	6.78535064309991	6.87542569867308	6.94939931261483	6.97086022084931	6.8751722841865	6.43086783231828	6.9041598699086	6.83956531625225	7.00672343338695
GJC2	4.95802259446861	4.95802259446861	4.95802259446861	5.39263409777588	4.95802259446861	4.95802259446861	5.34990220293201	5.44545747421301	5.36030272517258	5.18199242901773	5.45316537514631
IBA57	7.94668798763471	7.86925973925226	8.39735960893512	7.72814055594751	8.28544599607137	7.53741677006096	7.72133343409286	7.09219280210124	7.84195779751779	7.58683628860243	7.66411597928737
XP_016857932	5.32639064383066	4.95802259446861	7.23879064880066	5.51771127752149	4.95802259446861	5.16761950171538	4.95802259446861	4.95802259446861	5.44992461509756	5.94149854676419	4.95802259446861
XP_016857932.1	4.95802259446861	4.95802259446861	6.91042856054755	4.95802259446861	4.95802259446861	4.95802259446861	5.43724577380655	4.95802259446861	4.95802259446861	5.45684893925991	5.24482601473204
XP_016857932.2	5.6889200827866	5.84634598218425	7.96676671804706	4.95802259446861	4.95802259446861	6.07865595012237	4.95802259446861	4.95802259446861	5.70469870006227	5.624660432388	5.65490704248425
XP_016857932.3	4.95802259446861	5.71876727166131	7.75814912339683	4.95802259446861	4.95802259446861	5.78574823755695	4.95802259446861	4.95802259446861	5.36030272517258	5.54708587179104	5.52884375224877
CCDC13	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.34990220293201	5.37053577996723	5.36030272517258	4.95802259446861	5.85209279955988
VIPR1	7.44093409076076	7.0598319479978	7.95899468653251	8.89493348322469	8.97308332562368	8.25166173134698	8.31616959856107	7.53853903519846	8.671104851495	7.20138840718094	6.91543213122683
ADCYAP1R1	5.73224955739042	4.95802259446861	5.54921657736859	4.95802259446861	5.26505330141302	5.50968463036335	5.51054650070741	5.32723539904931	5.36030272517258	4.95802259446861	4.95802259446861
AQP1	7.10500101549212	6.60872640911199	7.37659028803864	6.67175648735672	6.69656418091256	7.78642896449079	6.97763423153763	7.31234438821683	7.25882216105938	7.07198978244941	6.17392249276096
MINDY4	5.59265996906697	5.6187175394014	5.47089647672853	5.39263409777588	5.48783726444286	5.5824803110622	5.90385158727336	5.21945067841891	4.95802259446861	4.95802259446861	5.52884375224877
MAP3K3	6.26954292710758	6.19591630397023	6.41335060948384	7.7477637585063	6.85813651882653	6.32869255438056	6.27364788117961	6.56949856193145	6.38233481735546	6.81898160541555	6.17392249276096
ACAA1	8.8403942696793	8.1904966173926	8.56418453537742	8.80262972886108	8.53307306761914	8.78512874683378	8.28955846544521	8.12810639148957	8.77945447816482	8.36392681411311	8.0731953347829
DLEC1	6.53083931915037	4.95802259446861	8.39735960893512	6.33048853759849	5.91322895006053	5.98510160918718	6.04401394103483	5.86839598403445	5.75501851268783	5.86727794858738	6.55095685533727
PLCD1	7.54193645972796	6.60872640911199	7.94331980581549	8.69734120012214	8.21786159607466	7.96697231029902	7.39522100653954	7.14804567029833	8.25688894750812	6.83956531625225	6.39110269674618
VIL1	11.2058143608731	8.6408194376346	10.442228450128	11.2423732229495	10.5371199520011	10.7600404172113	10.4258176618909	8.669756392937	10.5533551793148	8.48770950043842	8.25497430351296
CTDSPL	6.39789945956824	5.49902873068522	6.5585461214354	6.68644597096454	6.11790174447248	5.85778475977286	6.79650156488478	6.59532639029482	6.38233481735546	6.32432019672088	6.14322059179527
GARS1	11.767703567997	11.3879256128948	12.1246503783931	11.0914185863454	11.9936105652154	11.7356906497985	11.595741565498	10.8950739512024	11.5797822906537	10.5183106650635	10.4637551065424
augustus_masked-scaffold-Z-processed-gene-8.3_crovir-transcript-1727	6.37754208344975	5.80618200257906	6.68753935692367	7.06139284799171	6.34661896927018	7.5889393942167	7.17300691645071	6.7984229673168	6.93518992839491	5.96485549256901	6.52945392749256
USP19	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24482601473204
MYD88	5.84858260850075	5.76378149889058	6.68753935692367	7.26162099458411	6.89543863327093	6.34247397215363	6.79650156488478	6.38057360346321	6.95042446895446	6.62844944516555	6.11152027099858
OXSR1	6.04055593398185	6.0221021398231	6.51217916655167	6.36968751596733	6.67477366077966	6.67216053989819	6.43962927054612	6.0429407313581	6.6032894928771	5.86727794858738	5.93443326681131
SLC22A14.1	4.95802259446861	4.95802259446861	4.95802259446861	5.20957677128666	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
augustus_masked-scaffold-Z-processed-gene-10.1_crovir-transcript-1738	4.95802259446861	4.95802259446861	5.67961588003593	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
XIRP2	4.95802259446861	4.95802259446861	10.3862438565205	4.95802259446861	4.95802259446861	5.50968463036335	4.95802259446861	4.95802259446861	5.80206586552262	5.75615155988658	4.95802259446861
CSRNP3	6.51277835138489	6.67933299675335	7.15713022465113	7.27087688835346	9.02113543674738	6.04237577705801	6.6221505657956	6.18936089392668	7.00960437833892	5.98760160683147	5.45316537514631
CSRNP1	7.16007146799173	7.0598319479978	7.76712361928441	7.42738262864555	9.27325877194374	6.56496608976874	6.89032852829394	6.41102483648249	7.3172642699474	5.91748540644822	5.70955697906101
TTC21B	8.5364111668042	8.58339287148996	9.70808165050558	10.0261517849904	10.5710327208347	9.27738656088585	8.77987549468961	8.06247733494696	9.25626004109676	8.64031765649948	7.7926000171478
LRRC20	6.69756229310385	8.26576675582232	7.85381267508359	7.50707160005165	8.5496038848282	7.53741677006096	7.23213787117654	7.23785891683721	8.11044710853183	7.18589485623252	7.11915496576806
GORASP1	10.2131538777531	9.87493577050937	10.5632942347216	10.7269761758611	11.1514113612847	10.4507315284156	9.69992327935859	9.28068073022452	10.1549236999104	9.51400363501018	8.77990229227759
WDR48	8.99879037225637	9.48467815484402	9.73300519893642	9.37546475884887	9.73531182251427	9.72963807550907	9.94107863360134	9.56184829493432	9.99030990254029	9.24380735705964	9.49467344749962
WDR48.1	7.76597110149796	8.62057464420257	8.86106664482302	8.82096627643258	9.1089599315203	8.82138419206143	8.83585251997986	8.75125964394642	9.15186982834597	8.66199579892058	8.51728923697627
SCN5A	4.95802259446861	4.95802259446861	5.25516666755428	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
SCN5A.1	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.24293680403302	4.95802259446861	4.95802259446861
SCN5A.2	4.95802259446861	4.95802259446861	5.25516666755428	4.95802259446861	4.95802259446861	5.25417786538943	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
SCN5A.5	5.81175932232944	5.42722708019568	5.47089647672853	5.39263409777588	5.48783726444286	4.95802259446861	5.57483666579716	4.95802259446861	5.44992461509756	5.34517666114315	4.95802259446861
SCN5A.6	4.95802259446861	4.95802259446861	5.25516666755428	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	5.18199242901773	5.36296154062639
EXOG	6.69756229310385	6.05338217958118	5.78844758608145	6.51385050183864	6.40374452569291	6.314730854331	5.78069151737234	6.12555449871951	6.43012687877484	6.05255721075471	6.04476158624464
ACVR2B	8.65124185935147	7.0972107915982	8.53856667007116	8.77780908303561	8.17570155328935	9.10507533114593	8.89323978395851	9.16551688883846	8.67542789551778	7.25422855979047	8.36796234619186
XYLB	6.24654725668479	5.84634598218425	6.41335060948384	6.20330753265927	6.58339111900343	6.78929143054956	6.67715363338114	6.27237396563166	6.00282512237152	6.00977719995891	5.59519975743861
PPP1R37	9.08278620996038	9.53293123243647	8.80642510979968	8.5872394846004	9.2228383365718	8.72558544535017	8.37301097111073	8.29662832417271	8.74287220681457	8.39670983186812	8.01164705244458
DMWD	7.68068181542687	7.63532149267652	7.68417565999934	7.67440655988402	7.48966445068997	8.01613369156083	7.85934374215291	7.83829327207031	7.77001292101017	7.75537213844763	7.30702407597766
NUB1	8.61020431240973	8.01423670307181	8.74066575088339	8.7461641237097	7.9435686617506	8.79803009730647	9.22167453041623	8.29425533217286	8.82293004231931	8.37054434471865	8.09970739680491
WDR86	4.95802259446861	4.95802259446861	4.95802259446861	5.45924397206622	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861	4.95802259446861
RHEB	9.78489830416848	9.33679819135581	9.59644011709501	9.36719166028902	9.36288622864024	10.1165863715299	9.63641430282195	9.27352328952299	9.68143310313567	8.40639875420147	9.36287923231166
PRKAG2	6.69756229310385	5.98970245090329	6.91042856054755	6.88788204556525	6.43122801270105	7.19909019180482	7.66371125972916	6.67754722837003	7.02398178359974	6.38613637138069	7.21015951100837
GALNT11	10.5556002401032	10.0126786749402	10.6068072839853	10.2094565289643	10.5051994448485	10.8294414773949	11.0156670415058	9.69982175884071	10.6828615690764	9.51844815563414	10.2348888894271
KMT2C	10.1994602569258	9.62078244090363	10.5670758227425	10.9555203724079	10.6339902287177	10.7025784946939	11.1932449465967	10.203259592083	10.6945592919991	9.79848171577034	11.0337318711998
KMT2C.1	5.21885091834608	4.95802259446861	5.25516666755428	6.03100987200968	5.39141797371924	5.5824803110622	4.95802259446861	4.95802259446861	5.36030272517258	5.34517666114315	4.95802259446861
KMT2C.2	5.32639064383066	5.34168555806685	5.25516666755428	6.31033755491441	4.95802259446861	4.95802259446861	5.57483666579716	4.95802259446861	5.59105540594823	5.18199242901773	4.95802259446861
maker-scaffold-Z-augustus-gene-17.14_crovir-transcript-1769	4.95802259446861	4.95802259446861	4.95802259446861	5.20957677128666	4.95802259446861	4.95802259446861	5.34990220293201	6.17692560252905	5.36030272517258	4.95802259446861	5.97276365344516
XRCC2	6.6499660679064	5.6187175394014	6.68753935692367	6.65688453887289	7.12981002359579	6.54229794127222	6.29899335216247	5.77490612511768	6.562381581162	6.05255721075471	6.28813713240129
